week ending on,closed,commented,merged
2019-10-30,13,20,57
2019-11-06,32,75,90
2019-11-13,6,37,69
2019-11-20,6,21,25
2019-11-27,0,5,4
2019-12-04,11,22,66
2019-12-11,13,37,90
2019-12-18,13,14,75
2019-12-25,28,6,36
2020-01-01,0,0,0
