date,community,puppet,total
2019-11-28,104,46,150
2019-11-29,103,46,149
2019-11-30,104,3,107
2019-12-01,102,3,105
2019-12-02,105,4,109
2019-12-03,103,4,107
2019-12-04,101,4,105
2019-12-05,100,5,105
2019-12-06,170,4,174
2019-12-07,131,4,135
2019-12-08,131,4,135
2019-12-09,148,4,152
2019-12-10,116,4,120
2019-12-11,118,4,122
2019-12-12,86,4,90
2019-12-13,83,4,87
2019-12-14,76,3,79
2019-12-15,76,3,79
2019-12-16,78,45,123
2019-12-17,76,44,120
2019-12-18,76,10,86
